Processed Card Product,Processed Card Scheme,Transaction amount,Rate percent,Rate amount
MK_Credit,Masterkard,49.36,1.5,0.7
VIZA_Debit,VIZA,4.99,0.8,0.0
Viza_Pay,VIZA,391.46,0.2,0.8
MK_Debit,Masterkard,316.23,0.4,1.3
Carte_Rouge_Unique,Carte Rouge,114.61,0.9,1.0
VIZA_Debit,VIZA,666.78,0.6,4.0
Mastro,Masterkard,144.89,0.2,0.3
Mastro,Masterkard,228.64,0.2,0.5
Carte_Rouge_Unique,Carte Rouge,69.37,0.9,0.6
Viza_Super,VIZA,252.01,2.3,5.8
Mastro,Masterkard,29.97,0.2,0.1
Carte_Rouge_Unique,Carte Rouge,9.35,0.9,0.1
Viza_Super,VIZA,63.42,2.3,1.5
Viza_Pay,VIZA,160.62,0.2,0.3
MK_Student,Masterkard,222.48,0.8,1.8
MK_Credit,Masterkard,122.29,1.4,1.7
MK_Student,Masterkard,92.84,0.6,0.6
Viza_Pay,VIZA,326.44,0.2,0.7
MK_Credit,Masterkard,584.57,1.2,7.0
MK_Student,Masterkard,51.17,0.8,0.4
CP_QR,ChinaPay,280.4,2.0,5.6
Carte_Rouge_Magnifique,Carte Rouge,103.0,0.3,0.3
Mastro,Masterkard,377.91,0.2,0.8
Viza_Super,VIZA,314.44,2.0,6.3
Viza_Credit,VIZA,64.04,1.3,0.8
Carte_Rouge_Magnifique,Carte Rouge,217.18,0.3,0.7
CP_Credit,ChinaPay,80.89,1.4,1.1
Carte_Rouge_Magnifique,Carte Rouge,66.28,0.3,0.2
Carte_Rouge_Magnifique,Carte Rouge,44.2,0.3,0.1
MK_Student,Masterkard,363.19,0.8,2.9
Viza_Super,VIZA,412.38,2.0,8.2
Viza_Credit,VIZA,102.4,1.3,1.3
CP_QR,ChinaPay,151.98,2.0,3.0
MK_Student,Masterkard,266.82,0.6,1.6
Carte_Rouge_Magnifique,Carte Rouge,152.72,0.3,0.5
MK_Credit,Masterkard,429.78,1.5,6.4
Carte_Rouge_Magnifique,Carte Rouge,597.65,0.3,1.8
MK_Credit,Masterkard,308.91,1.2,3.7
Viza_Super,VIZA,182.03,2.3,4.2
Carte_Rouge_Unique,Carte Rouge,385.6,0.9,3.5
MK_Student,Masterkard,188.12,0.8,1.5
Carte_Rouge_Unique,Carte Rouge,265.67,0.9,2.4
CP_Debit,ChinaPay,11.4,0.6,0.1
VIZA_Debit,VIZA,19.26,0.8,0.2
CP_Credit,ChinaPay,15.16,1.4,0.2
MK_Student,Masterkard,112.14,0.8,0.9
MK_Credit,Masterkard,190.79,1.5,2.9
CP_Debit,ChinaPay,233.77,0.6,1.4
Carte_Rouge_Unique,Carte Rouge,399.64,0.9,3.6
CP_Debit,ChinaPay,44.1,0.45,0.2
CP_Debit,ChinaPay,246.6,0.6,1.5
CP_Debit,ChinaPay,16.6,0.45,0.1
Viza_Pay,VIZA,34.78,0.2,0.1
VIZA_Debit,VIZA,481.63,0.6,2.9
Viza_Credit,VIZA,216.42,1.3,2.8
Mastro,Masterkard,148.09,0.2,0.3
VIZA_Debit,VIZA,70.71,0.6,0.4
MK_Debit,Masterkard,333.82,0.5,1.7
CP_Credit,ChinaPay,171.34,1.2,2.1
CP_Credit,ChinaPay,443.98,1.4,6.2
CP_Debit,ChinaPay,651.74,0.6,3.9
Viza_Pay,VIZA,236.72,0.2,0.5
Viza_Super,VIZA,41.84,2.3,1.0
CP_Credit,ChinaPay,235.5,1.4,3.3
Carte_Rouge_Unique,Carte Rouge,124.51,0.9,1.1
MK_Credit,Masterkard,311.68,1.2,3.7
Carte_Rouge_Magnifique,Carte Rouge,381.19,0.3,1.1
MK_Credit,Masterkard,20.53,1.4,0.3
Viza_Credit,VIZA,532.1,0.6,3.2
Viza_Credit,VIZA,26.49,1.3,0.3
CP_Debit,ChinaPay,233.62,0.45,1.1
CP_Debit,ChinaPay,125.44,0.6,0.8
Carte_Rouge_Unique,Carte Rouge,28.15,0.9,0.3
Viza_Credit,VIZA,256.27,0.6,1.5
MK_Student,Masterkard,74.98,0.8,0.6
VIZA_Debit,VIZA,134.87,0.8,1.1
Viza_Super,VIZA,29.68,2.0,0.6
MK_Credit,Masterkard,64.28,1.4,0.9
Carte_Rouge_Magnifique,Carte Rouge,417.99,0.3,1.3
MK_Credit,Masterkard,50.24,1.5,0.8
MK_Student,Masterkard,107.49,0.8,0.9
MK_Debit,Masterkard,371.44,0.5,1.9
MK_Credit,Masterkard,78.9,1.5,1.2
CP_Credit,ChinaPay,177.02,1.2,2.1
MK_Student,Masterkard,170.2,0.8,1.4
MK_Debit,Masterkard,155.54,0.5,0.8
VIZA_Debit,VIZA,227.11,0.8,1.8
CP_QR,ChinaPay,382.13,2.0,7.6
MK_Credit,Masterkard,375.04,1.2,4.5
CP_Debit,ChinaPay,9.86,0.6,0.1
CP_Credit,ChinaPay,201.1,1.4,2.8
Viza_Super,VIZA,39.74,2.0,0.8
MK_Debit,Masterkard,117.79,0.5,0.6
Viza_Super,VIZA,153.93,2.0,3.1
Carte_Rouge_Unique,Carte Rouge,212.93,0.9,1.9
Carte_Rouge_Unique,Carte Rouge,221.91,0.9,2.0
Carte_Rouge_Unique,Carte Rouge,2.03,0.9,0.0
Viza_Credit,VIZA,730.13,0.9,6.6
CP_QR,ChinaPay,166.91,2.0,3.3
MK_Debit,Masterkard,280.39,0.4,1.1
Carte_Rouge_Magnifique,Carte Rouge,224.14,0.3,0.7
Viza_Super,VIZA,375.3,2.0,7.5
MK_Student,Masterkard,7.7,0.6,0.0
CP_QR,ChinaPay,825.9,2.0,16.5
CP_Credit,ChinaPay,86.55,1.2,1.0
CP_Credit,ChinaPay,151.27,1.4,2.1
Viza_Credit,VIZA,47.28,1.3,0.6
CP_Debit,ChinaPay,113.06,0.45,0.5
CP_Credit,ChinaPay,136.54,1.2,1.6
CP_Credit,ChinaPay,160.09,1.4,2.2
CP_Credit,ChinaPay,237.69,1.2,2.9
MK_Debit,Masterkard,357.79,0.4,1.4
Carte_Rouge_Unique,Carte Rouge,231.94,0.9,2.1
CP_Debit,ChinaPay,176.39,0.6,1.1
MK_Student,Masterkard,404.52,0.8,3.2
Viza_Pay,VIZA,140.4,0.2,0.3
CP_Debit,ChinaPay,173.34,0.45,0.8
Mastro,Masterkard,190.06,0.2,0.4
MK_Credit,Masterkard,178.31,1.5,2.7
CP_Debit,ChinaPay,61.5,0.6,0.4
MK_Student,Masterkard,182.1,0.8,1.5
Viza_Super,VIZA,95.4,2.3,2.2
MK_Debit,Masterkard,321.19,0.5,1.6
CP_Debit,ChinaPay,332.45,0.6,2.0
Viza_Pay,VIZA,300.2,0.2,0.6
MK_Debit,Masterkard,413.35,0.4,1.7
CP_Debit,ChinaPay,212.12,0.45,1.0
CP_Debit,ChinaPay,75.91,0.45,0.3
Carte_Rouge_Magnifique,Carte Rouge,450.84,0.3,1.4
Viza_Credit,VIZA,213.08,0.9,1.9
Viza_Pay,VIZA,482.14,0.2,1.0
CP_Debit,ChinaPay,338.0,0.6,2.0
Mastro,Masterkard,125.72,0.2,0.3
Mastro,Masterkard,207.86,0.2,0.4
CP_QR,ChinaPay,128.67,2.0,2.6
Viza_Super,VIZA,86.94,2.0,1.7
Viza_Credit,VIZA,75.02,0.9,0.7
VIZA_Debit,VIZA,190.3,0.8,1.5
MK_Credit,Masterkard,227.07,1.2,2.7
MK_Student,Masterkard,138.7,0.8,1.1
VIZA_Debit,VIZA,87.32,0.6,0.5
Viza_Super,VIZA,177.59,2.3,4.1
Carte_Rouge_Magnifique,Carte Rouge,399.82,0.3,1.2
Carte_Rouge_Unique,Carte Rouge,84.71,0.9,0.8
Viza_Credit,VIZA,24.83,0.9,0.2
MK_Debit,Masterkard,293.7,0.4,1.2
VIZA_Debit,VIZA,118.54,0.8,0.9
Viza_Super,VIZA,17.15,2.3,0.4
CP_Debit,ChinaPay,155.98,0.6,0.9
Viza_Credit,VIZA,348.33,0.9,3.1
MK_Credit,Masterkard,337.55,1.2,4.1
Mastro,Masterkard,8.65,0.2,0.0
Viza_Credit,VIZA,44.69,0.6,0.3
Carte_Rouge_Unique,Carte Rouge,75.77,0.9,0.7
Viza_Credit,VIZA,447.25,0.9,4.0
Carte_Rouge_Magnifique,Carte Rouge,105.34,0.3,0.3
Mastro,Masterkard,121.35,0.2,0.2
CP_QR,ChinaPay,58.18,2.0,1.2
MK_Credit,Masterkard,1.67,1.2,0.0
CP_QR,ChinaPay,165.46,2.0,3.3
MK_Debit,Masterkard,40.87,0.4,0.2
MK_Credit,Masterkard,580.86,1.2,7.0
MK_Student,Masterkard,211.62,0.6,1.3
CP_QR,ChinaPay,272.4,2.0,5.4
Viza_Pay,VIZA,3.05,0.2,0.0
CP_Debit,ChinaPay,68.34,0.6,0.4
CP_Debit,ChinaPay,51.18,0.45,0.2
CP_Debit,ChinaPay,275.17,0.45,1.2
Viza_Super,VIZA,237.09,2.3,5.5
Viza_Pay,VIZA,377.59,0.2,0.8
CP_Credit,ChinaPay,462.67,1.2,5.6
Carte_Rouge_Unique,Carte Rouge,5.15,0.9,0.0
Mastro,Masterkard,141.72,0.2,0.3
CP_Debit,ChinaPay,281.85,0.6,1.7
Carte_Rouge_Unique,Carte Rouge,266.23,0.9,2.4
CP_QR,ChinaPay,183.66,2.0,3.7
Carte_Rouge_Unique,Carte Rouge,472.03,0.9,4.2
MK_Student,Masterkard,171.4,0.6,1.0
CP_Debit,ChinaPay,39.37,0.6,0.2
Viza_Pay,VIZA,264.55,0.2,0.5
MK_Debit,Masterkard,85.48,0.4,0.3
MK_Debit,Masterkard,221.98,0.4,0.9
VIZA_Debit,VIZA,253.33,0.8,2.0
MK_Credit,Masterkard,254.99,1.4,3.6
MK_Student,Masterkard,124.16,0.6,0.7
MK_Debit,Masterkard,243.18,0.4,1.0
CP_Credit,ChinaPay,109.83,1.2,1.3
MK_Debit,Masterkard,81.56,0.5,0.4
CP_Credit,ChinaPay,45.48,1.2,0.5
Viza_Pay,VIZA,124.69,0.2,0.2
Viza_Super,VIZA,230.13,2.0,4.6
Viza_Credit,VIZA,61.92,1.3,0.8
CP_QR,ChinaPay,90.66,2.0,1.8
VIZA_Debit,VIZA,123.16,0.8,1.0
CP_Credit,ChinaPay,51.86,1.4,0.7
CP_Credit,ChinaPay,9.11,1.4,0.1
VIZA_Debit,VIZA,303.78,0.6,1.8
Viza_Super,VIZA,470.18,2.0,9.4
Viza_Pay,VIZA,262.8,0.2,0.5
MK_Student,Masterkard,0.27,0.8,0.0
Viza_Pay,VIZA,527.25,0.2,1.1
Mastro,Masterkard,460.16,0.2,0.9
CP_Credit,ChinaPay,139.99,1.4,2.0
CP_QR,ChinaPay,46.71,2.0,0.9
Mastro,Masterkard,187.6,0.2,0.4
Viza_Pay,VIZA,150.73,0.2,0.3
CP_Credit,ChinaPay,263.62,1.2,3.2
MK_Credit,Masterkard,99.85,1.4,1.4
Mastro,Masterkard,136.48,0.2,0.3
MK_Debit,Masterkard,490.81,0.4,2.0
Viza_Pay,VIZA,59.66,0.2,0.1
MK_Credit,Masterkard,218.54,1.4,3.1
Viza_Super,VIZA,334.71,2.0,6.7
Carte_Rouge_Unique,Carte Rouge,41.27,0.9,0.4
VIZA_Debit,VIZA,138.5,0.6,0.8
VIZA_Debit,VIZA,182.57,0.8,1.5
Viza_Credit,VIZA,326.16,0.9,2.9
CP_QR,ChinaPay,250.91,2.0,5.0
MK_Student,Masterkard,12.28,0.6,0.1
MK_Credit,Masterkard,19.87,1.4,0.3
Carte_Rouge_Unique,Carte Rouge,73.13,0.9,0.7
CP_QR,ChinaPay,168.46,2.0,3.4
Viza_Pay,VIZA,177.25,0.2,0.4
MK_Debit,Masterkard,105.73,0.4,0.4
MK_Debit,Masterkard,302.95,0.5,1.5
Carte_Rouge_Unique,Carte Rouge,138.62,0.9,1.2
VIZA_Debit,VIZA,9.11,0.8,0.1
Carte_Rouge_Magnifique,Carte Rouge,135.16,0.3,0.4
MK_Student,Masterkard,87.55,0.6,0.5
Mastro,Masterkard,225.01,0.2,0.5
Viza_Super,VIZA,59.9,2.3,1.4
Carte_Rouge_Magnifique,Carte Rouge,208.54,0.3,0.6
Carte_Rouge_Unique,Carte Rouge,121.13,0.9,1.1
Viza_Pay,VIZA,60.69,0.2,0.1
MK_Credit,Masterkard,81.94,1.2,1.0
Viza_Pay,VIZA,162.89,0.2,0.3
MK_Student,Masterkard,62.56,0.8,0.5
CP_QR,ChinaPay,330.38,2.0,6.6
CP_QR,ChinaPay,470.17,2.0,9.4
Viza_Credit,VIZA,15.12,0.6,0.1
Viza_Credit,VIZA,141.21,0.9,1.3
Carte_Rouge_Magnifique,Carte Rouge,116.68,0.3,0.4
Viza_Super,VIZA,141.58,2.3,3.3
MK_Debit,Masterkard,100.7,0.5,0.5
Carte_Rouge_Magnifique,Carte Rouge,217.41,0.3,0.7
Carte_Rouge_Unique,Carte Rouge,347.9,0.9,3.1
Mastro,Masterkard,205.59,0.2,0.4
Viza_Super,VIZA,35.72,2.3,0.8
Viza_Pay,VIZA,137.34,0.2,0.3
CP_Debit,ChinaPay,360.01,0.6,2.2
Mastro,Masterkard,215.27,0.2,0.4
CP_Debit,ChinaPay,112.12,0.6,0.7
CP_Debit,ChinaPay,172.91,0.45,0.8
Viza_Super,VIZA,140.44,2.0,2.8
Carte_Rouge_Magnifique,Carte Rouge,76.02,0.3,0.2
MK_Credit,Masterkard,162.89,1.5,2.4
CP_QR,ChinaPay,131.43,2.0,2.6
Viza_Super,VIZA,102.25,2.3,2.4
Carte_Rouge_Magnifique,Carte Rouge,110.81,0.3,0.3
CP_QR,ChinaPay,80.29,2.0,1.6
Viza_Credit,VIZA,112.01,1.3,1.5
VIZA_Debit,VIZA,165.72,0.6,1.0
Carte_Rouge_Magnifique,Carte Rouge,85.52,0.3,0.3
Carte_Rouge_Magnifique,Carte Rouge,246.58,0.3,0.7
MK_Student,Masterkard,512.7,0.8,4.1
Viza_Pay,VIZA,370.2,0.2,0.7
VIZA_Debit,VIZA,79.23,0.8,0.6
Mastro,Masterkard,302.27,0.2,0.6
CP_Debit,ChinaPay,204.98,0.6,1.2
CP_QR,ChinaPay,27.73,2.0,0.6
MK_Debit,Masterkard,522.79,0.5,2.6
MK_Student,Masterkard,408.41,0.8,3.3
Mastro,Masterkard,291.5,0.2,0.6
Viza_Pay,VIZA,51.43,0.2,0.1
Carte_Rouge_Magnifique,Carte Rouge,76.58,0.3,0.2
MK_Debit,Masterkard,246.38,0.5,1.2
CP_QR,ChinaPay,206.54,2.0,4.1
Viza_Super,VIZA,212.42,2.0,4.2
MK_Debit,Masterkard,328.86,0.4,1.3
MK_Credit,Masterkard,74.91,1.2,0.9
VIZA_Debit,VIZA,120.83,0.8,1.0
Viza_Pay,VIZA,40.25,0.2,0.1
MK_Student,Masterkard,4.3,0.6,0.0
VIZA_Debit,VIZA,16.93,0.8,0.1
Viza_Super,VIZA,413.35,2.0,8.3
CP_Debit,ChinaPay,170.39,0.45,0.8
Viza_Super,VIZA,34.52,2.3,0.8
MK_Credit,Masterkard,210.53,1.2,2.5
Viza_Super,VIZA,48.58,2.0,1.0
CP_Credit,ChinaPay,396.02,1.4,5.5
CP_Debit,ChinaPay,171.99,0.6,1.0
Carte_Rouge_Unique,Carte Rouge,228.52,0.9,2.1
MK_Student,Masterkard,140.01,0.8,1.1
MK_Credit,Masterkard,241.89,1.5,3.6
Mastro,Masterkard,328.3,0.2,0.7
MK_Debit,Masterkard,2.35,0.4,0.0
CP_QR,ChinaPay,280.49,2.0,5.6
Viza_Super,VIZA,16.07,2.3,0.4
Carte_Rouge_Magnifique,Carte Rouge,42.91,0.3,0.1
Viza_Credit,VIZA,73.68,0.9,0.7
MK_Student,Masterkard,60.65,0.6,0.4
MK_Debit,Masterkard,590.33,0.5,3.0
CP_Debit,ChinaPay,149.91,0.45,0.7
Viza_Super,VIZA,27.31,2.3,0.6
Mastro,Masterkard,54.31,0.2,0.1
Carte_Rouge_Magnifique,Carte Rouge,26.03,0.3,0.1
MK_Student,Masterkard,76.42,0.8,0.6
CP_QR,ChinaPay,147.12,2.0,2.9
Viza_Pay,VIZA,482.2,0.2,1.0
CP_QR,ChinaPay,376.67,2.0,7.5
CP_Credit,ChinaPay,88.26,1.2,1.1
MK_Debit,Masterkard,167.49,0.5,0.8
MK_Debit,Masterkard,25.55,0.5,0.1
Viza_Credit,VIZA,27.07,0.6,0.2
Carte_Rouge_Unique,Carte Rouge,4.33,0.9,0.0
Viza_Pay,VIZA,43.12,0.2,0.1
Carte_Rouge_Unique,Carte Rouge,142.05,0.9,1.3
MK_Student,Masterkard,290.15,0.6,1.7
Viza_Super,VIZA,417.74,2.0,8.4
MK_Debit,Masterkard,405.38,0.5,2.0
MK_Credit,Masterkard,54.16,1.2,0.6
MK_Student,Masterkard,273.37,0.8,2.2
CP_QR,ChinaPay,60.34,2.0,1.2
MK_Debit,Masterkard,91.39,0.5,0.5
MK_Debit,Masterkard,192.33,0.4,0.8
Viza_Pay,VIZA,203.27,0.2,0.4
MK_Debit,Masterkard,78.42,0.5,0.4
Mastro,Masterkard,70.67,0.2,0.1
MK_Debit,Masterkard,144.72,0.4,0.6
Viza_Pay,VIZA,30.57,0.2,0.1
MK_Credit,Masterkard,516.82,1.4,7.2
Viza_Credit,VIZA,269.79,0.9,2.4
VIZA_Debit,VIZA,174.33,0.6,1.0
Viza_Credit,VIZA,3.12,1.3,0.0
Viza_Pay,VIZA,62.48,0.2,0.1
Carte_Rouge_Unique,Carte Rouge,199.81,0.9,1.8
Viza_Pay,VIZA,595.42,0.2,1.2
VIZA_Debit,VIZA,367.16,0.8,2.9
Viza_Credit,VIZA,212.41,0.9,1.9
Viza_Credit,VIZA,136.46,0.9,1.2
Mastro,Masterkard,622.25,0.2,1.2
MK_Student,Masterkard,252.01,0.8,2.0
MK_Student,Masterkard,43.73,0.8,0.3
VIZA_Debit,VIZA,1.42,0.6,0.0
CP_QR,ChinaPay,499.21,2.0,10.0
Mastro,Masterkard,418.36,0.2,0.8
CP_QR,ChinaPay,35.22,2.0,0.7
Viza_Credit,VIZA,329.21,0.6,2.0
Carte_Rouge_Unique,Carte Rouge,153.56,0.9,1.4
MK_Debit,Masterkard,143.78,0.4,0.6
CP_QR,ChinaPay,496.75,2.0,9.9
Viza_Pay,VIZA,75.38,0.2,0.2
VIZA_Debit,VIZA,154.72,0.6,0.9
Viza_Super,VIZA,562.56,2.0,11.3
CP_Debit,ChinaPay,80.98,0.6,0.5
Viza_Pay,VIZA,97.26,0.2,0.2
Carte_Rouge_Unique,Carte Rouge,282.37,0.9,2.5
Viza_Pay,VIZA,225.41,0.2,0.5
CP_Credit,ChinaPay,212.78,1.2,2.6
MK_Debit,Masterkard,100.11,0.4,0.4
Viza_Credit,VIZA,33.2,0.9,0.3
CP_QR,ChinaPay,83.84,2.0,1.7
VIZA_Debit,VIZA,27.68,0.6,0.2
Mastro,Masterkard,399.19,0.2,0.8
MK_Debit,Masterkard,168.19,0.5,0.8
Mastro,Masterkard,306.71,0.2,0.6
Carte_Rouge_Magnifique,Carte Rouge,570.74,0.3,1.7
Viza_Super,VIZA,147.69,2.0,3.0
VIZA_Debit,VIZA,68.74,0.8,0.5
Carte_Rouge_Magnifique,Carte Rouge,135.08,0.3,0.4
Viza_Credit,VIZA,260.81,0.9,2.3
Mastro,Masterkard,469.02,0.2,0.9
CP_QR,ChinaPay,72.65,2.0,1.5
CP_QR,ChinaPay,233.96,2.0,4.7
VIZA_Debit,VIZA,397.54,0.8,3.2
CP_Debit,ChinaPay,12.37,0.45,0.1
MK_Debit,Masterkard,621.27,0.5,3.1
Viza_Super,VIZA,410.95,2.3,9.5
Carte_Rouge_Unique,Carte Rouge,60.55,0.9,0.5
MK_Credit,Masterkard,403.7,1.2,4.8
MK_Debit,Masterkard,531.61,0.4,2.1
CP_QR,ChinaPay,365.4,2.0,7.3
MK_Debit,Masterkard,212.31,0.4,0.8
Carte_Rouge_Unique,Carte Rouge,153.78,0.9,1.4
CP_Credit,ChinaPay,123.77,1.4,1.7
CP_QR,ChinaPay,151.29,2.0,3.0
MK_Credit,Masterkard,706.44,1.4,9.9
MK_Student,Masterkard,10.47,0.6,0.1
CP_QR,ChinaPay,251.14,2.0,5.0
Viza_Credit,VIZA,40.07,1.3,0.5
MK_Student,Masterkard,61.52,0.8,0.5
Viza_Super,VIZA,168.02,2.0,3.4
CP_Debit,ChinaPay,254.83,0.45,1.1
Viza_Super,VIZA,338.42,2.0,6.8
Viza_Super,VIZA,46.52,2.0,0.9
Mastro,Masterkard,131.19,0.2,0.3
MK_Student,Masterkard,235.08,0.8,1.9
Mastro,Masterkard,221.43,0.2,0.4
Mastro,Masterkard,406.46,0.2,0.8
CP_Debit,ChinaPay,22.62,0.45,0.1
VIZA_Debit,VIZA,157.48,0.6,0.9
Carte_Rouge_Magnifique,Carte Rouge,294.52,0.3,0.9
MK_Debit,Masterkard,66.02,0.5,0.3
Viza_Pay,VIZA,91.66,0.2,0.2
MK_Student,Masterkard,4.35,0.8,0.0
Viza_Super,VIZA,65.99,2.3,1.5
MK_Credit,Masterkard,465.35,1.5,7.0
Viza_Pay,VIZA,337.35,0.2,0.7
Carte_Rouge_Magnifique,Carte Rouge,127.11,0.3,0.4
MK_Student,Masterkard,330.34,0.8,2.6
VIZA_Debit,VIZA,21.46,0.8,0.2
Viza_Credit,VIZA,357.57,0.6,2.1
CP_Credit,ChinaPay,128.24,1.4,1.8
CP_Credit,ChinaPay,210.06,1.4,2.9
